performance_id,campaign_id,date,impressions,clicks,conversions,cost_uzs,revenue_uzs,ctr,cpc,roas
1,1,2025-10-11,25860.0,1258,248,1576566.68,98066245.65,4.86,1253.23,62.2
2,1,2025-10-12,86955.0,669,81,830830.31,9980440.4,0.77,1241.9,12.01
3,1,2025-10-13,18355.0,711,52,970591.13,21105002.55,3.87,1365.11,21.74
4,1,2025-10-14,20444.0,527,85,1905628.55,21122870.44,2.58,3615.99,11.08
5,1,2025-10-15,67354.0,1644,298,1733847.77,66346542.47,2.44,1054.65,38.27
6,1,2025-10-16,85642.0,2324,196,417179.06,24681163.65,2.71,179.51,59.16
7,1,2025-10-17,63817.0,2535,365,1098708.72,104065507.21,3.97,433.42,94.72
8,1,2025-10-18,32829.0,589,72,1531586.43,35162517.12,1.79,2600.32,22.96
9,1,2025-10-19,60441.0,387,61,214400.97,28151605.55,0.64,554.01,131.3
10,1,2025-10-20,89121.0,2683,215,443713.38,100362817.68,3.01,165.38,226.19
11,1,2025-10-21,34935.0,860,20,1768655.81,2718052.14,2.46,2056.58,1.54
12,1,2025-10-22,41653.0,464,41,100235.57,5263960.97,1.11,216.02,52.52
13,1,2025-10-23,49601.0,2086,323,1033729.15,34520710.32,4.21,495.56,33.39
14,1,2025-10-24,81161.0,773,117,256020.58,30920341.08,0.95,331.2,120.77
15,1,2025-10-25,48199.0,1740,231,1334066.64,111296527.04,3.61,766.7,83.43
16,1,2025-10-26,43309.0,657,49,1575012.62,23598144.97,1.52,2397.28,14.98
17,1,2025-10-27,31781.0,1421,73,225329.43,13949694.37,4.47,158.57,61.91
18,1,2025-10-28,29574.0,342,34,1255354.21,9232801.01,1.16,3670.63,7.35
19,1,2025-10-29,31883.0,1135,188,1502565.94,47732637.04,3.56,1323.85,31.77
20,1,2025-10-30,30952.0,939,36,1279856.8,9551220.7,3.03,1363.0,7.46
21,1,2025-10-31,96974.0,916,176,280685.98,54215965.82,0.94,306.43,193.16
22,1,2025-11-01,81761.0,3603,706,1880282.07,188643146.2,4.41,521.87,100.33
23,1,2025-11-02,67778.0,1634,145,1944232.61,39678711.32,2.41,1189.86,20.41
24,1,2025-11-03,59231.0,724,124,183853.92,51069194.25,1.22,253.94,277.77
25,1,2025-11-04,63034.0,1227,120,509620.44,53619687.45,1.95,415.34,105.21
26,1,2025-11-05,,78,12,1638451.89,3342103.74,1.7,21005.79,2.04
27,1,2025-11-06,96214.0,4711,544,1043724.67,259525541.26,4.9,221.55,248.65
28,1,2025-11-07,27074.0,528,98,1831382.77,45834790.77,1.95,3468.53,25.03
29,1,2025-11-08,31353.0,1347,74,965009.45,33232355.98,4.3,716.41,34.44
30,1,2025-11-09,74226.0,1486,244,866934.37,58695307.22,2.0,583.4,67.7
31,1,2025-11-10,22425.0,639,17,1048414.56,1929589.98,2.85,1640.71,1.84
32,1,2025-11-11,2431.0,108,6,443286.83,1327270.45,4.44,4104.51,2.99
33,1,2025-11-12,3160.0,86,9,1738463.0,1512128.55,2.72,20214.69,0.87
34,1,2025-11-13,74518.0,3002,121,556263.36,15519156.11,4.03,185.3,27.9
35,1,2025-11-14,54948.0,1028,96,1249170.54,17884631.95,1.87,1215.15,14.32
36,1,2025-11-15,84511.0,1567,111,1267271.93,48288562.68,1.85,808.72,38.1
37,1,2025-11-16,73004.0,2500,241,775597.87,26173701.26,3.42,310.24,33.75
38,1,2025-11-17,3416.0,79,14,901502.81,3275731.84,2.31,11411.43,3.63
39,1,2025-11-18,47595.0,352,62,695133.39,21574291.27,0.74,1974.81,31.04
40,1,2025-11-19,64000.0,1276,122,880782.95,44031806.66,1.99,690.27,49.99
41,1,2025-11-20,11421.0,305,32,463268.64,4685747.79,2.67,1518.91,10.11
42,1,2025-11-21,32957.0,1045,90,1072091.62,33915532.41,3.17,1025.92,31.63
43,1,2025-11-22,79354.0,3457,523,308887.95,234317166.98,4.36,89.35,758.58
44,1,2025-11-23,42002.0,1644,229,1452060.83,114293615.66,3.91,883.25,78.71
45,1,2025-11-24,85414.0,4031,285,379178.83,72155969.99,4.72,94.07,190.3
46,1,2025-11-25,52126.0,1303,216,1124811.81,63749699.7,2.5,863.25,56.68
47,1,2025-11-26,18974.0,917,108,418933.61,14494772.79,4.83,456.85,34.6
48,1,2025-11-27,37210.0,1226,124,1028692.46,55066534.17,3.29,839.06,53.53
49,1,2025-11-28,63255.0,2931,427,1760896.81,103977435.2,4.63,600.78,59.05
50,1,2025-11-29,97780.0,2237,290,1588765.46,35400473.66,2.29,710.22,22.28
51,1,2025-11-30,89692.0,3251,366,1983613.95,126185075.84,3.62,610.16,63.61
52,1,2025-12-01,3914.0,136,22,1712569.65,2511401.75,3.47,12592.42,1.47
53,1,2025-12-02,14678.0,666,10,1334540.45,1103422.29,4.54,2003.81,0.83
54,1,2025-12-03,54593.0,1860,272,1064381.89,45618822.5,3.41,572.25,42.86
55,1,2025-12-04,25399.0,592,93,652158.27,25269464.63,2.33,1101.62,38.75
56,1,2025-12-05,28524.0,208,37,1588655.04,9865721.4,0.73,7637.76,6.21
57,1,2025-12-06,4104.0,166,23,1372709.61,7916544.68,4.04,8269.34,5.77
58,1,2025-12-07,47996.0,703,103,307032.96,27811652.16,1.46,436.75,90.58
59,1,2025-12-08,89759.0,3391,286,1683933.56,136165647.96,3.78,496.59,80.86
60,1,2025-12-09,92169.0,1037,129,1046165.96,51122486.5,1.13,1008.84,48.87
61,1,2025-12-10,48207.0,764,15,1382173.79,7376251.54,1.58,1809.13,5.34
62,1,2025-12-11,50521.0,876,34,769105.42,16434934.09,1.73,877.97,21.37
63,1,2025-12-12,76350.0,808,82,448209.13,27446425.64,1.06,554.71,61.24
64,1,2025-12-13,50271.0,1661,254,570832.7,39487480.5,3.3,343.67,69.18
65,1,2025-12-14,55367.0,1594,116,214310.99,22720173.34,2.88,134.45,106.01
66,1,2025-12-15,61749.0,958,32,822100.22,8611234.73,1.55,858.14,10.47
67,1,2025-12-16,14945.0,688,41,668202.1,13742919.93,4.6,971.22,20.57
68,1,2025-12-17,21555.0,968,73,1084377.62,7975516.17,4.49,1120.22,7.35
69,1,2025-12-18,50967.0,2510,74,175581.85,29564679.33,4.92,69.95,168.38
