campaign_id,campaign_name,channel,campaign_type,start_date,end_date,budget_uzs,target_audience,objective,status,impressions,clicks,conversions,cost_uzs,revenue_uzs,amount_spent,total_cost,CTR,CPC,Conversion_Rate,ROAS,Profit
1,Horizontal tangible task-force 2020,Google Ads,Engagement,2025-10-12,2025-11-12,45865733.62,45-54,Sales,Completed,4292840.0,116281,13262,83663362.25,4212631367.7,39668177.75,123331540.0,2.7087196354860654,1060.6336374816178,11.405130674830797,34.15696720968537,4089299827.7
2,Synchronized tangible utilization 2024,Twitter,Engagement,2024-10-07,2024-10-28,85236649.93,18-24,App Downloads,Active,3201435.0,96084,8819,72415445.55,2765231374.98,39496680.27,111912125.82,3.0012791138973616,1164.7321699762706,9.178427209525,24.708952266956413,2653319249.16
3,Robust 3rdgeneration migration 2021,LinkedIn,Conversion,2025-01-05,2025-06-13,97841850.88,35-44,Leads,Completed,4784123.0,153960,16679,98017917.6,4873841988.04,35804420.37,133822337.97,3.2181446839891032,869.2019873343726,10.833333333333334,36.42024240476659,4740019650.07
4,Object-based context-sensitive approach 2020,Google Ads,Awareness,2025-07-02,2025-09-22,28252658.58,18-24,Sales,Cancelled,1136809.0,28440,2088,19420373.24,634910310.99,39798733.4,59219106.64,2.501739518248008,2082.247068917018,7.341772151898734,10.721376039150597,575691204.35
5,Distributed bandwidth-monitored complexity 2024,Facebook Ads,Awareness,2024-02-13,2024-06-16,78901726.93,35-44,Brand Awareness,Completed,8016526.0,235768,22645,169290514.44,7078034413.87,40046670.16,209337184.6,2.9410245784770113,887.8948143938109,9.604780971124157,33.811644249418265,6868697229.2699995
6,Right-sized motivating flexibility 2025,Google Ads,Awareness,2024-08-12,2024-08-31,87762254.44,35-44,Brand Awareness,Paused,3097695.0,87983,7730,61079465.16,2427366015.17,38247300.46,99326765.62,2.840273170857686,1128.931334689656,8.785788163622518,24.43818642455862,2328039249.55
7,Reduced analyzing contingency 2025,Twitter,Awareness,2025-07-16,2025-10-23,71802633.18,18-24,App Downloads,Cancelled,5490854.0,143393,13851,113339448.78,4104651973.92,38717680.07,152057128.85,2.611488121884137,1060.422258060017,9.659467338015105,26.99414361538499,3952594845.07
8,Grass-roots asynchronous model 2024,SMS,Conversion,2025-11-02,2026-04-28,73380706.56,55+,Brand Awareness,Active,5715122.0,163215,17048,114632770.79,5147671088.81,38168132.17,152800902.96,2.8558445471505247,936.1939954048341,10.44511840210765,33.688747835198,4994870185.85
9,Cross-platform regional knowledgebase 2024,Telegram,Awareness,2024-07-09,,11469849.06,18-24,Leads,Paused,7711490.0,208053,24172,171266996.21,7402458813.55,34351012.88,205618009.09,2.6979610944188477,988.2962951267225,11.618193441094336,36.00102367643249,7196840804.46
10,Down-sized clear-thinking artificial intelligence 2022,Twitter,Engagement,2023-12-17,2024-04-18,84524799.87,45-54,Sales,Paused,5244130.0,140688,13745,94157394.02,4307905328.22,39574068.25,133731462.27,2.682771022076112,950.5534393125213,9.769845331513704,32.2131026992172,4174173865.9500003
11,Multi-layered upward-trending contingency 2020,YouTube,Conversion,2025-10-19,2026-03-22,40942780.99,55+,App Downloads,Cancelled,4115210.0,116944,11436,84243794.33,3597740904.13,35839495.07,120083289.4,2.8417504817494126,1026.844381926392,9.779039540292791,29.960379350917414,3477657614.73
12,Innovative modular time-frame 2022,Facebook Ads,Conversion,2025-04-16,2025-06-10,70914861.58,18-24,Leads,Cancelled,6898490.0,207030,21945,145125839.37,6568721749.89,46615474.15,191741313.52,3.0010915432217775,926.1523137709511,10.59991305607883,34.25824945756844,6376980436.37
13,Phased intangible portal 2021,TikTok,Engagement,2024-07-29,2024-11-12,23261531.48,45-54,Sales,Active,1547938.0,44557,4857,39500128.93,1600451372.75,33975282.62,73475411.55,2.8784744608634196,1649.0206151670893,10.900644118769216,21.78213553333952,1526975961.2
14,Synchronized upward-trending collaboration 2020,Telegram,Awareness,2024-01-29,2024-04-12,22742320.04,45-54,App Downloads,Active,7173346.0,195477,21959,142424727.39,6570727491.77,42109750.56,184534477.95,2.7250463033568995,944.0214344910142,11.23354665766305,35.60704516990236,6386193013.820001
