
campaign_id,impressions,clicks,conversions,cost_uzs,revenue_uzs,CTR,CPC,ROAS,conversion_rate,num_customers,avg_lifetime_value,CAC,channel,campaign_type
1,4292840.0,116281,13262,83663362.25,4212631367.7,2.7087196354860654,719.4929717666687,50.352164369296545,0.11405130674830798,143,2962383.9813286713,585058.4772727273,Google Ads,Engagement
2,3201435.0,96084,8819,72415445.55,2765231374.98,3.0012791138973616,753.6680982265517,38.185657134025604,0.09178427209524999,114,2882491.8157017543,635223.2065789474,Twitter,Engagement
3,4784123.0,153960,16679,98017917.6,4873841988.04,3.2181446839891032,636.6453468433359,49.723990341537316,0.10833333333333334,117,3209436.444102564,837759.9794871794,LinkedIn,Conversion
4,1136809.0,28440,2088,19420373.24,634910310.99,2.501739518248008,682.8541926863572,32.69300250534217,0.07341772151898734,105,2943338.097714286,184955.9356190476,Google Ads,Awareness
5,8016526.0,235768,22645,169290514.44,7078034413.87,2.9410245784770113,718.0385567167724,41.8099882163132,0.09604780971124156,119,3219705.3984033614,1422609.3650420168,Facebook Ads,Awareness
6,3097695.0,87983,7730,61079465.16,2427366015.17,2.840273170857686,694.2189418410375,39.74111444511542,0.08785788163622518,127,3033408.813779528,480940.6705511811,Google Ads,Awareness
7,5490854.0,143393,13851,113339448.78,4104651973.92,2.611488121884137,790.4113086412865,36.21556323154019,0.09659467338015106,134,3261832.335,845816.7819402985,Twitter,Awareness
8,5715122.0,163215,17048,114632770.79,5147671088.81,2.8558445471505247,702.3421302576356,44.905754727330184,0.10445118402107649,105,2818795.255714286,1091740.6741904763,SMS,Conversion
9,7711490.0,208053,24172,171266996.21,7402458813.55,2.6979610944188477,823.1892652833653,43.22174719800324,0.11618193441094336,144,3069137.158888889,1189354.1403472223,Telegram,Awareness
10,5244130.0,140688,13745,94157394.02,4307905328.22,2.682771022076112,669.2638605993403,45.7521724454795,0.09769845331513705,114,3199395.4478947367,825942.0528070175,Twitter,Engagement
11,4115210.0,116944,11436,84243794.33,3597740904.13,2.8417504817494126,720.3772261082228,42.70630178451982,0.0977903954029279,110,2596825.4574545454,765852.6757272728,YouTube,Conversion
12,6898490.0,207030,21945,145125839.37,6568721749.89,3.0010915432217775,700.989418779887,45.2622481179452,0.10599913056078829,127,2610305.277559055,1142723.1446456693,Facebook Ads,Conversion
13,1547938.0,44557,4857,39500128.93,1600451372.75,2.8784744608634196,886.5078198711763,40.51762402057557,0.10900644118769216,105,3299952.165904762,376191.7040952381,TikTok,Engagement
14,7173346.0,195477,21959,142424727.39,6570727491.77,2.7250463033568995,728.6009473748829,46.13473806256587,0.1123354665766305,117,2944995.2755555557,1217305.3623076922,Telegram,Awareness
15,8406464.0,225671,24547,178353211.5,7391925393.95,2.684493741958569,790.3240181503162,41.4454291671109,0.1087733913528987,113,3216127.3106194693,1578347.0044247787,TikTok,Awareness
16,4147459.0,112212,10893,88884455.32,3237110953.91,2.7055601996306655,792.1118536341924,36.41931474132141,0.09707517912522724,110,2834346.7427272727,808040.5029090908,SMS,Traffic
