
channel,impressions,clicks,conversions,cost_uzs,revenue_uzs,ctr,cpc,roas,conversion_rate,num_customers,avg_lifetime_value,cac
Email,199297339.0,5510671,583036,4110004479.85,175319991710.49,2.7650499638632904,745.8265027707153,42.65688579417036,10.580127175075413,6129,2990373.7189623103,670583.2076766193
Facebook Ads,259929084.0,7268423,774269,5411637253.33,233045004636.72,2.7963100120031203,744.5407694805324,43.0636780935969,10.65250330092236,5765,3013244.6850390285,938705.5079496964
Google Ads,185131201.0,5064861,533385,3822896810.11,161748780705.09,2.7358224721936524,754.7880998333419,42.310527523874185,10.531088612303478,5195,3056488.0610510106,735880.0404446584
Instagram,200218700.0,5694773,591926,4108858174.16,175068070231.06,2.8442762838835733,721.513952208455,42.60747458552771,10.394198328888614,4957,2972961.4484769013,828900.1763485979
LinkedIn,241115528.0,6691459,708904,4903898623.75,211517026365.17,2.7752086543343655,732.8593993850967,43.13242230187529,10.594161901014413,5699,3008469.9727478507,860484.0540007019
SMS,261162305.0,7186708,743020,5375761245.94,221601970214.87,2.75181672944723,748.0144241201951,41.22243531225147,10.338808812045794,6354,2967069.6088526915,846043.6332924141
Telegram,305653481.0,8389894,882702,6247091410.48,265049463091.2,2.7449037951574975,744.5971797116864,42.42765883760852,10.521014925814319,7750,2947842.562571613,806076.3110296774
TikTok,168686300.0,4677780,490419,3406252580.99,149279405155.52,2.773064558295487,728.1771654481399,43.82511326043036,10.484011646550288,4312,3022146.8517926717,789947.2590422077
Twitter,282666853.0,7883525,822178,5728552949.77,247754378497.57,2.788981062452342,726.648669189227,43.24903351159864,10.429065678107193,6992,3015968.634985698,819301.0511684783
Unknown,34340332.0,953176,98360,693317829.55,29729972374.27,2.7756749701779238,727.3765071193567,42.88072671312424,10.319185543907945,729,3014500.419355281,951053.2641289437
YouTube,274095730.0,7553558,778166,5579777102.03,232811770238.49,2.755810168950826,738.6952085401343,41.72420617909448,10.301979543944721,7018,3038449.812992306,795066.5577130236
