conversion_id,campaign_id,customer_id,conversion_date,conversion_type,conversion_value,attribution_model,time_to_convert_days
1,210,13729,2024-08-03,Add to Cart,1864500.1,Last Click,24
2,203,14904,2025-02-06,Contact,2882815.69,First Click,81
3,12,33850,2025-09-17,Download,2501600.95,First Click,14
4,96,23677,2024-11-01,Purchase,842836.53,Time Decay,47
5,98,59810,2024-03-03,Contact,1352396.52,First Click,87
6,125,34016,2025-04-02,Purchase,1555697.41,Linear,61
7,129,35076,2024-04-28,Download,2471986.86,Time Decay,14
8,419,12929,2025-08-06,Sign Up,2639917.24,First Click,23
9,238,630,2025-03-27,Add to Cart,2434871.5,Linear,76
10,67,37074,2025-03-01,Sign Up,697869.49,Time Decay,34
11,458,17103,2024-09-04,Contact,1973895.88,Linear,14
12,68,11629,2024-01-31,Purchase,1796872.16,Linear,39
13,254,13666,2024-01-29,Download,640270.31,Time Decay,35
14,129,57490,2024-12-23,Contact,2243749.98,First Click,44
15,266,25151,2023-12-31,Sign Up,808299.97,Last Click,22
16,23,3543,2024-02-18,Add to Cart,2040163.61,Time Decay,51
17,99,48462,2025-06-25,Contact,1878327.84,Last Click,78
18,385,37955,2025-10-24,Download,1556045.41,Last Click,82
19,286,24777,2024-08-11,Add to Cart,2489393.73,Last Click,88
20,273,48659,2025-03-16,Purchase,2733773.93,Last Click,32
21,443,28935,2025-03-30,Contact,1378004.13,First Click,40
22,314,14096,2024-11-29,Download,2766767.01,Last Click,24
23,173,28132,2023-12-12,Add to Cart,,Last Click,36
24,427,14292,2024-06-26,Download,1129259.08,Time Decay,26
25,21,18090,2024-06-20,Add to Cart,1104926.5,Last Click,81
26,246,26567,2025-01-31,Download,2592690.87,First Click,89
27,437,6649,2025-09-22,Purchase,1069222.55,Last Click,37
28,133,48859,2024-11-09,Sign Up,2065610.28,First Click,12
29,37,13439,2025-11-08,Purchase,1638290.47,Time Decay,81
30,104,27471,2024-06-13,Download,820152.69,Linear,74
31,467,30012,2025-06-02,Sign Up,1396182.57,Last Click,44
32,194,10580,2024-04-04,Purchase,1672192.3,Last Click,62
33,38,3571,2023-12-30,Download,1351334.86,Time Decay,57
34,349,59409,2025-04-02,Purchase,746266.24,Last Click,22
35,147,43192,2024-04-15,Purchase,1293969.58,First Click,7
36,493,20159,2024-01-28,Contact,,First Click,48
37,318,13116,2025-10-03,Sign Up,358764.12,Linear,69
38,423,18585,2023-12-27,Purchase,1648442.9,Last Click,28
39,39,3096,2024-04-26,Contact,2259391.87,Linear,39
40,76,12489,2024-01-01,Sign Up,1899333.44,Last Click,82
41,396,20513,2023-11-21,Sign Up,135597.71,First Click,29
42,177,14081,2024-08-29,Contact,762973.55,Linear,39
43,261,20352,2024-05-13,Add to Cart,1896897.56,Last Click,54
44,243,2900,2025-09-29,Contact,1876631.42,Time Decay,9
45,112,38732,2025-09-28,Purchase,417504.71,Linear,75
46,145,20219,2024-08-19,Add to Cart,1727333.44,Time Decay,49
47,418,34384,2025-06-18,Add to Cart,2798655.58,Last Click,62
48,53,7248,2025-07-15,Contact,2361925.56,Time Decay,62
49,292,47356,2024-01-12,Download,1748754.97,Last Click,16
50,422,54237,2024-06-08,Add to Cart,918330.67,Time Decay,61
51,73,45899,2025-03-08,Contact,1455889.67,First Click,34
52,481,17820,2025-03-01,Sign Up,2664493.69,First Click,46
53,280,43778,2023-11-18,Add to Cart,1640305.77,Linear,85
54,175,54205,2024-08-08,Sign Up,2719731.5,Time Decay,12
55,416,14899,2025-01-01,Sign Up,382865.62,Time Decay,72
56,280,25898,2025-11-06,Add to Cart,2372212.47,Time Decay,0
57,116,45302,2023-12-26,Contact,1416777.16,First Click,47
58,46,58154,2025-02-09,Contact,2297321.42,Time Decay,25
59,320,59916,2025-01-25,Contact,2851444.48,First Click,48
60,94,40169,2024-06-25,Add to Cart,2756838.01,Linear,7
61,112,22258,2024-02-04,Add to Cart,2194378.66,First Click,31
62,430,51110,2025-10-19,Contact,543084.65,First Click,69
63,274,37772,2025-06-30,Sign Up,567825.01,Linear,80
64,176,30651,2024-05-09,Purchase,179664.06,Last Click,84
65,23,28980,2024-01-15,Sign Up,2798491.38,Linear,74
66,208,43340,2024-03-30,Add to Cart,851942.01,Time Decay,3
67,389,48212,2025-04-21,Contact,2368668.53,Linear,26
68,382,39836,2024-05-17,Contact,2646534.88,Linear,3
69,109,13556,2023-11-26,Contact,1104065.01,Linear,48
70,497,16575,2023-12-19,Sign Up,1129447.51,Last Click,81
71,255,22267,2024-05-17,Download,681174.99,Time Decay,58
72,407,56678,2025-02-19,Download,2289671.08,Linear,3
73,401,21280,2025-08-03,Add to Cart,2086729.23,First Click,41
74,118,39402,2024-05-30,Contact,1950703.58,Time Decay,3
75,12,7673,2025-07-29,Add to Cart,2989098.71,First Click,6
76,424,1642,2024-04-23,Sign Up,163396.54,Linear,3
77,267,7769,2024-11-16,Purchase,1323565.73,Last Click,81
78,336,5707,2024-07-22,Sign Up,666892.45,First Click,40
79,451,49242,2024-04-15,Add to Cart,1362956.01,Last Click,89
80,418,15352,2024-04-28,Download,1175121.84,Last Click,17
81,342,35777,2025-04-18,Add to Cart,842115.34,First Click,67
82,323,14699,2025-05-12,Download,2778974.62,Last Click,18
83,179,49167,2024-03-18,Purchase,149433.55,Time Decay,70
84,347,12773,2024-08-30,Purchase,2536566.07,Time Decay,60
85,157,42922,2024-02-05,Download,1541270.92,Linear,0
86,422,10835,2025-06-07,Purchase,1561517.36,Time Decay,88
87,364,6697,2024-11-25,Add to Cart,2564417.78,First Click,48
88,210,19557,2024-11-13,Add to Cart,,First Click,19
89,453,31621,2024-06-03,Sign Up,1447007.05,Last Click,16
90,442,33757,2024-03-10,Download,,Linear,43
91,55,18841,2024-04-02,Download,1271184.36,Last Click,67
92,333,9614,2024-10-01,Add to Cart,376336.26,First Click,7
93,28,14099,2024-11-03,Add to Cart,1239587.6,Linear,7
94,7,44114,2024-12-14,Download,1475996.43,Time Decay,83
95,22,30013,2025-02-04,Download,,Time Decay,21
96,456,3570,2025-08-23,Purchase,477266.8,Linear,16
97,425,57622,2025-03-19,Download,259039.24,First Click,45
98,478,16582,2025-05-31,Download,1992926.96,Linear,18
99,320,23607,2024-05-20,Contact,2307136.33,Linear,30
100,147,14192,2025-07-21,Purchase,1361622.26,First Click,38
101,434,52055,2025-09-18,Sign Up,981013.57,Linear,40
102,284,15780,2025-03-07,Sign Up,2598120.07,Linear,70
103,134,50401,2024-09-18,Sign Up,1868644.84,First Click,26
104,142,11410,2025-02-18,Sign Up,1745128.0,Last Click,80
105,212,41026,2024-11-03,Purchase,274082.97,Time Decay,35
106,309,45256,2025-09-16,Purchase,1051261.66,Linear,43
107,255,32610,2024-09-19,Download,1766049.2,Linear,0
108,315,59373,2024-06-24,Add to Cart,790365.59,Time Decay,24
109,128,7855,2025-01-26,Contact,2007546.88,Linear,52
110,212,12208,2024-09-23,Purchase,2029246.76,First Click,67
