customer_id,campaign_id,acquisition_date,first_purchase_amount,lifetime_value,source,device,age_group,gender
1,211,2024-11-06,803571.99,1430059.92,Organic,mobile,35-44,F
2,272,2025-08-16,1164374.22,1953546.09,Email,mobile,18-24,
3,272,2024-01-05,1643388.97,5225457.12,Email,mobile,45-54,F
4,202,2024-03-10,1099215.23,1993686.22,Google,Mobile,55+,f
5,226,2024-11-15,1466847.15,3867517.21,Direct,Desktop,25-34,m
6,228,2024-06-13,274323.97,536539.23,Direct,desktop,35-44,M
7,489,2024-05-09,680502.75,2130974.53,Facebook,desktop,55+,Female
8,88,2024-05-29,1501905.15,7282052.16,Google,Desktop,35-44,Female
9,250,2024-10-02,127128.02,306750.9,Instagram,mobile,25-34,f
10,485,2024-12-19,636017.73,2119231.83,Direct,desktop,45-54,F
11,246,2025-03-05,783477.89,3747125.81,Instagram,mobile,35-44,
12,116,2025-01-13,922178.72,2558345.79,Google,Mobile,55+,M
13,12,2024-02-08,1233985.37,2959521.66,Google,Mobile,25-34,M
14,115,2024-03-28,1695737.76,7033415.56,Referral,Tablet,45-54,M
15,386,2025-01-07,507002.19,757916.18,Organic,desktop,18-24,F
16,416,2025-01-15,840526.66,1678884.55,Google,Tablet,35-44,Male
17,24,2024-09-29,1901193.31,6425077.49,Google,Mobile,35-44,F
18,236,2024-07-20,594607.21,1271299.47,Google,Tablet,45-54,f
19,39,2024-01-29,1170576.8,1525431.28,Facebook,mobile,55+,M
20,62,2025-01-30,1534027.6,5899211.64,Direct,Mobile,35-44,m
21,73,2025-08-19,524127.72,2573381.54,Direct,mobile,25-34,
22,173,2024-12-14,85648.08,124553.91,Email,Mobile,18-24,M
23,231,2025-04-11,1286014.79,5246009.72,Organic,Mobile,45-54,Male
24,319,2025-03-18,909338.85,2648328.46,Referral,Mobile,35-44,M
25,83,2024-06-30,205118.46,614716.92,Google,Tablet,35-44,M
26,202,2023-11-27,583282.38,2390104.62,Instagram,mobile,18-24,Female
27,199,2023-12-17,73278.86,158972.77,Google,desktop,35-44,m
28,451,2025-08-05,1422016.32,3724653.31,Facebook,Mobile,35-44,f
29,148,2024-01-31,1345698.21,2699476.02,Organic,mobile,35-44,
30,120,2024-04-25,159662.69,184548.77,Instagram,mobile,25-34,m
31,154,2024-03-11,235264.6,741090.22,Organic,Tablet,25-34,m
32,372,2024-08-14,463814.43,1648431.43,Google,Tablet,18-24,F
33,273,2024-08-15,1854735.98,4891513.06,Direct,desktop,45-54,m
34,88,2024-01-27,352594.35,613466.33,Facebook,Mobile,18-24,m
35,337,2025-10-23,534695.29,927014.32,Instagram,Desktop,35-44,Male
36,82,2024-09-29,370698.47,1104210.52,Organic,Mobile,45-54,M
37,227,2025-10-12,1139982.44,2956887.28,Google,Mobile,55+,m
38,87,2025-11-02,1654902.16,6076658.55,Facebook,Tablet,25-34,Female
39,34,2025-10-02,1346692.16,6184031.51,Direct,Tablet,35-44,
40,499,2025-09-05,423981.78,1276575.5,Instagram,Tablet,18-24,m
41,214,2023-11-27,222956.68,999773.0,Email,Desktop,55+,
42,461,2024-01-13,803768.59,2099412.25,Instagram,desktop,25-34,
43,132,2025-09-11,252891.71,268837.97,Referral,Tablet,25-34,f
44,286,2024-05-04,1824041.94,4322056.36,Google,Mobile,35-44,M
45,248,2025-07-10,968367.76,3482245.21,Google,desktop,45-54,m
46,62,2024-09-20,1088667.21,5286215.85,Email,Desktop,45-54,Female
47,16,2024-05-07,1678539.62,3021169.32,Facebook,Mobile,25-34,f
48,400,2024-05-10,1723863.04,2684807.24,Email,Mobile,35-44,F
49,273,2024-01-06,1195524.53,4537418.74,Email,Tablet,18-24,Female
50,417,2024-12-30,882097.28,1513768.84,Referral,Mobile,55+,M
51,399,2025-07-28,657210.91,2901112.27,Facebook,desktop,45-54,
52,329,2024-11-27,652082.56,373279.54,Direct,Mobile,55+,
53,413,2023-12-01,383637.08,963788.07,Facebook,desktop,55+,m
54,439,2025-03-24,200726.86,363795.86,Direct,desktop,45-54,Male
55,291,2024-10-30,420038.56,451676.89,Google,Desktop,18-24,Male
56,427,2024-07-18,999420.94,2826964.09,Referral,desktop,45-54,Male
57,458,2025-05-15,1558531.1,2641308.86,Instagram,desktop,45-54,Female
58,358,2024-03-26,941711.08,1013398.29,Google,desktop,18-24,m
59,214,2025-08-21,1484963.42,6582530.72,Facebook,Desktop,55+,f
60,491,2023-12-31,1565831.72,7109127.55,Organic,Desktop,55+,M
61,498,2024-05-18,1651798.23,7929515.8,Direct,mobile,25-34,Male
62,257,2024-07-15,771764.99,2088407.44,Facebook,Mobile,55+,Female
63,240,2025-04-18,1144598.99,2551836.97,Instagram,mobile,55+,Male
64,271,2024-06-25,812651.89,3947811.04,Instagram,mobile,45-54,F
65,361,2025-04-09,1875517.01,2353399.3,Facebook,mobile,35-44,f
66,32,2025-03-21,202262.24,628984.26,Facebook,Tablet,55+,m
67,2,2025-04-19,1673378.11,3638092.71,Instagram,Mobile,55+,
